docid,groupcode,as,id,uid
120554214,1202,0.1333333333333333,4678,221290
120586387,1202,0.0476190476190476,4678,227815
120589603,1202,0.0714285714285714,4678,228833
120637407,1202,0.074074074074074,4678,240047
120589080,1202,0.5,4680,228659
120629765,1202,0.08,4680,238085
120636587,1202,0.0571428571428571,4680,239870
120632264,1202,0.037037037037037,4932,238718
120549955,1202,0.0952380952380952,4657,220612
120601759,1202,0.0952380952380952,4657,231725
120671391,1202,0.0666666666666666,5319,247993
120128538,1202,0.2692307692307693,4956,165394
120549293,1202,0.5,5034,220454
120250231,1202,0.3333333333333333,4904,181756
120084082,1202,0.2692307692307693,5047,158384
120027511,1202,0.0512820512820512,7195,153269
120548862,1202,0.0666666666666666,5611,220341
120572818,1202,0.0689655172413793,7228,224832
120357998,1202,0.25,4398,194402
120358034,1202,0.2333333333333333,4398,194499
120541241,1202,0.0714285714285714,4398,218785
120577516,1202,0.0384615384615384,4398,225904
120628266,1202,0.0571428571428571,4398,237736
120658698,1202,0.08,4398,244754
120540454,1202,0.0833333333333333,2754,218553
120604358,1202,0.2,5599,232314
120659525,1202,0.4,3176,245047
433067,1202,0.3181818181818182,6305,120308
120295296,1202,0.0606060606060606,3293,185098
120330403,1202,0.1578947368421052,3293,185947
120359082,1202,0.1666666666666666,3293,197143
120634068,1202,0.0689655172413793,6153,239187
120612549,1202,0.0625,5672,234388
120912162,1202,0.5,5672,256406
120656180,1202,0.0769230769230769,6329,244066
120593480,1202,0.5,7077,229878
120605657,1202,0.0625,2639,232658
120868917,1202,0.2916666666666666,6170,254913
120638424,1202,0.1052631578947368,7396,240282
120666540,1202,0.05,7396,246798
120355883,1202,0.4375,4223,189270
120355924,1202,0.25,4223,189353
120589877,1202,0.0476190476190476,4223,228940
120604141,1202,0.1818181818181818,1688,232282
121002967,1202,0.0689655172413793,1657,260235
120620117,1202,0.0769230769230769,1394,236217
120680020,1202,0.0833333333333333,7800,249719
120554646,1202,0.0454545454545454,7360,221350
120549447,1202,0.064516129032258,8201,220488
120671455,1202,0.0625,8201,248006
120582928,1202,0.0666666666666666,6391,227142
120566504,1202,0.0689655172413793,6875,223661
120666458,1202,0.0666666666666666,6579,246772
120569742,1202,0.0714285714285714,7176,224131
120643614,1202,0.0625,7176,241203
120569837,1202,0.0606060606060606,7144,224200
120604537,1202,0.1538461538461538,7144,232387
120650753,1202,0.037037037037037,7144,242896
120588287,1202,0.074074074074074,7809,228383
120613810,1202,0.0666666666666666,7809,234833
120650074,1202,0.074074074074074,6630,242758
120639162,1202,0.05,4300,240466
120636534,1202,0.25,5289,239857
120613634,1202,0.0555555555555555,5195,234712
120675507,1202,0.0714285714285714,4806,248911
120608411,1202,0.037037037037037,2151,233150
120595077,1202,0.0769230769230769,3073,230184
120606234,1202,0.0344827586206896,2636,232741
120621625,1202,0.0344827586206896,2660,236490
120633500,1202,0.2,1289,239037
120673506,1202,0.0476190476190476,2055,248442
120912518,1202,0.064516129032258,2055,256430
120654504,1202,0.064516129032258,3610,243707
120679969,1202,0.0689655172413793,3610,249684
120592684,1202,0.064516129032258,4080,229669
120638733,1202,0.125,4080,240351
120677865,1202,0.125,4080,249274
120710851,1202,0.0588235294117647,7068,250584
120622470,1202,0.0526315789473684,8427,236644
120776592,1202,0.25,4481,252534
120648052,1202,0.0689655172413793,7537,242271
120678068,1202,0.0606060606060606,7537,249352
120563750,1202,0.4,6969,223083
120640050,1202,0.2,4961,240568
120666747,1202,0.074074074074074,4961,246837
120540704,1202,0.064516129032258,7679,218639
120560359,1202,0.064516129032258,3763,222482
120625286,1202,0.0689655172413793,3763,237248
120641504,1202,0.08,2510,240902
120611434,1202,0.04,4190,234075
120638059,1202,0.0416666666666666,4190,240159
120596581,1202,0.0588235294117647,6974,230381
120634761,1202,0.0666666666666666,6860,239322
120134702,1202,0.2258064516129032,4513,166339
120405202,1202,0.2777777777777778,4513,201748
120405295,1202,0.2258064516129032,4513,201923
120405435,1202,0.1875,4513,202373
120602868,1202,0.0689655172413793,2403,231909
120632188,1202,0.0909090909090909,2220,238679
120575155,1202,0.0384615384615384,3622,225400
120638021,1202,0.064516129032258,3622,240122
120645647,1202,0.064516129032258,3622,241692
120590296,1202,0.25,1437,229052
120680070,1202,0.0625,5387,249749
120680087,1202,0.0625,7061,249763
120609853,1202,0.0606060606060606,4870,233495
120612495,1202,0.1176470588235294,4094,234349
120568107,1202,0.0714285714285714,3448,223847
120672566,1202,0.2,1876,248199
120656237,1202,0.3333333333333333,8341,244083
120668308,1202,0.0666666666666666,8341,247067
120579669,1202,0.08,5471,226329
120732646,1202,0.15,3750,251418
120587527,1202,0.0666666666666666,8392,228163
120672658,1202,0.0666666666666666,8392,248229
120680047,1202,0.0666666666666666,8392,249724
120615107,1202,0.25,3119,235284
120630504,1202,0.1666666666666666,1930,238246
120651674,1202,0.0689655172413793,5062,243119
120932875,1202,0.5,5070,257356
120573962,1202,0.0833333333333333,4828,225115
121004698,1202,0.0769230769230769,6045,260329
395324,1202,0.2222222222222222,7997,119526
120582037,1202,0.0666666666666666,7997,226920
120654805,1202,0.0769230769230769,1075,243782
120619166,1202,0.0625,8428,235996
120659464,1202,0.064516129032258,6936,245015
120174693,1202,1.0,4486,172404
121027251,1202,0.08,1232,261112
120570886,1202,1.0,5931,224435
120549945,1202,0.1,6425,220603
120645149,1202,0.0869565217391304,7802,241581
120560004,1202,0.0666666666666666,5222,222385
120635692,1202,0.0689655172413793,3059,239698
120540145,1202,0.0666666666666666,4403,218503
120615578,1202,0.0666666666666666,1968,235388
120667749,1202,0.04,4784,246999
120673419,1202,0.0666666666666666,8396,248352
120541217,1202,0.0689655172413793,5543,218772
120633383,1202,0.0714285714285714,2587,239001
