docid,groupcode,as,id,uid
4027,901,0.1666666666666666,4478,100001
17323,901,0.1153846153846153,4478,100048
21469,901,0.1363636363636363,4478,100689
21475,901,0.1363636363636363,4478,100703
21483,901,0.1,4478,100722
21493,901,0.1578947368421052,4478,100741
21499,901,0.1666666666666666,4478,100753
21515,901,0.0769230769230769,4478,100790
21523,901,0.1428571428571428,4478,100796
21524,901,0.1578947368421052,4478,100803
21535,901,0.1764705882352941,4478,100822
22046,901,0.1304347826086956,4478,101511
22438,901,0.2727272727272727,4478,102082
22728,901,0.1363636363636363,4478,102618
27256,901,0.15,4478,102663
53554,901,0.12,4478,103337
110851,901,0.1111111111111111,4478,105907
143708,901,0.1290322580645161,4478,106542
143711,901,0.1111111111111111,4478,106557
143758,901,0.1363636363636363,4478,106648
143876,901,0.1578947368421052,4478,106722
143887,901,0.1666666666666666,4478,106757
147196,901,0.375,4478,106807
161491,901,0.12,4478,107649
215410,901,0.1363636363636363,4478,109794
223795,901,0.15,4478,110934
223826,901,0.1071428571428571,4478,110980
224024,901,0.12,4478,111385
224172,901,0.1304347826086956,4478,111580
224193,901,0.1578947368421052,4478,111607
224194,901,0.1304347826086956,4478,111613
224246,901,0.1363636363636363,4478,111702
228144,901,0.1578947368421052,4478,112616
228343,901,0.1304347826086956,4478,112835
228344,901,0.1363636363636363,4478,112843
248779,901,0.2105263157894736,4478,113479
249041,901,0.1666666666666666,4478,113716
265076,901,0.1379310344827586,4478,113909
287722,901,0.125,4478,114861
287798,901,0.1363636363636363,4478,115000
288062,901,0.0967741935483871,4478,115393
288068,901,0.12,4478,115407
353417,901,0.1428571428571428,4478,116376
361714,901,0.15,4478,118193
363994,901,0.2142857142857142,4478,118293
428754,901,0.1428571428571428,4478,119857
431323,901,0.1363636363636363,4478,119889
432458,901,0.1304347826086956,4478,120272
451859,901,0.1428571428571428,4478,121128
451875,901,0.1153846153846153,4478,121135
500752,901,0.1034482758620689,4478,122246
500758,901,0.1428571428571428,4478,122267
500759,901,0.1363636363636363,4478,122274
500761,901,0.15,4478,122282
504623,901,0.1363636363636363,4478,123163
548600,901,0.125,4478,126856
557514,901,0.1428571428571428,4478,127297
570762,901,0.1111111111111111,4478,127782
570801,901,0.1363636363636363,4478,127787
570804,901,0.1052631578947368,4478,127794
570806,901,0.1578947368421052,4478,127801
575911,901,0.1428571428571428,4478,128167
597345,901,0.1428571428571428,4478,129172
600370,901,0.1578947368421052,4478,130011
604658,901,0.1363636363636363,4478,130243
616596,901,0.15,4478,131435
616652,901,0.1363636363636363,4478,131464
632316,901,0.125,4478,132393
636465,901,0.1428571428571428,4478,133147
636469,901,0.1363636363636363,4478,133161
636969,901,0.1304347826086956,4478,133284
641004,901,0.1578947368421052,4478,133606
650007,901,0.12,4478,134056
661270,901,0.15,4478,134825
661730,901,0.1363636363636363,4478,134924
661787,901,0.1578947368421052,4478,134951
679481,901,0.15,4478,136261
688935,901,0.1304347826086956,4478,136785
711498,901,0.125,4478,138214
10011065,901,0.1333333333333333,4478,140757
10011459,901,0.1578947368421052,4478,140880
10011514,901,0.1304347826086956,4478,140947
10011525,901,0.1363636363636363,4478,140970
10024378,901,0.1111111111111111,4478,143662
10036807,901,0.1428571428571428,4478,144369
10037494,901,0.1428571428571428,4478,144437
10037788,901,0.15,4478,144596
10037955,901,0.1363636363636363,4478,144797
10047844,901,0.15,4478,146414
10047846,901,0.15,4478,146421
10052217,901,0.1153846153846153,4478,146934
10052224,901,0.15,4478,146941
10052329,901,0.0769230769230769,4478,146954
50003538,901,0.2,4478,147512
60003669,901,0.1428571428571428,4478,147876
60004077,901,0.09375,4478,148357
70007047,901,0.15,4478,149371
90002401,901,0.1428571428571428,4478,149843
110010856,901,0.1071428571428571,4478,150672
110012774,901,0.1363636363636363,4478,150714
120001002,901,0.1428571428571428,4478,151133
120001198,901,0.074074074074074,4478,151528
120001342,901,0.1428571428571428,4478,151758
120001637,901,0.1578947368421052,4478,152368
120004237,901,0.1363636363636363,4478,152506
120021832,901,0.125,4478,153052
120033520,901,0.125,4478,153687
120043329,901,0.1363636363636363,4478,154336
120051037,901,0.1304347826086956,4478,154895
120052150,901,0.1363636363636363,4478,154939
120052415,901,0.1071428571428571,4478,154960
120055995,901,0.15,4478,155119
120061233,901,0.3333333333333333,4478,155488
120062339,901,0.1176470588235294,4478,155593
120080440,901,0.1428571428571428,4478,156819
120080698,901,0.1363636363636363,4478,157123
120080705,901,0.1111111111111111,4478,157137
120081050,901,0.1304347826086956,4478,157697
120081126,901,0.1363636363636363,4478,157788
120081132,901,0.0666666666666666,4478,157825
120087296,901,0.1428571428571428,4478,159002
120091139,901,0.0967741935483871,4478,159423
120092176,901,0.1,4478,159621
120098188,901,0.1578947368421052,4478,160596
120102796,901,0.0454545454545454,4478,161337
120110389,901,0.1304347826086956,4478,162445
120110593,901,0.2142857142857142,4478,162487
120112471,901,0.4,4478,162729
120114502,901,0.1428571428571428,4478,163038
120119537,901,0.073170731707317,4478,163835
120119549,901,0.1333333333333333,4478,163874
120128377,901,0.1428571428571428,4478,165370
120129119,901,0.1071428571428571,4478,165458
120134181,901,0.1578947368421052,4478,166285
120135375,901,0.1666666666666666,4478,166450
120135842,901,0.15,4478,166508
120136464,901,0.0769230769230769,4478,166592
120146772,901,0.1578947368421052,4478,168185
120152606,901,0.1578947368421052,4478,169158
120157122,901,0.1111111111111111,4478,169779
120160094,901,0.1666666666666666,4478,170308
120162053,901,0.1764705882352941,4478,170595
120163660,901,0.09375,4478,170814
120165954,901,0.0967741935483871,4478,171102
120167670,901,0.15,4478,171317
120170330,901,0.12,4478,171710
120181654,901,0.1538461538461538,4478,173568
120182364,901,0.2105263157894736,4478,173731
120183797,901,0.1428571428571428,4478,173918
120187295,901,0.1666666666666666,4478,174417
120192157,901,0.1034482758620689,4478,175035
120198072,901,0.1333333333333333,4478,175689
120198073,901,0.1578947368421052,4478,175695
120198074,901,0.125,4478,175701
120206014,901,0.1578947368421052,4478,176428
120206016,901,0.1304347826086956,4478,176436
120212235,901,0.0909090909090909,4478,177340
120214006,901,0.0857142857142857,4478,177482
120214007,901,0.1153846153846153,4478,177489
120220172,901,0.0666666666666666,4478,178339
120221310,901,0.1428571428571428,4478,178440
