docid,groupcode,as,id,uid
4027,119,0.1111111111111111,4478,100004
21459,119,0.1666666666666666,4478,100679
21469,119,0.1363636363636363,4478,100692
21475,119,0.1363636363636363,4478,100706
21483,119,0.2,4478,100725
21493,119,0.0526315789473684,4478,100744
21494,119,0.125,4478,100750
21499,119,0.0416666666666666,4478,100756
21515,119,0.3076923076923077,4478,100793
21523,119,0.1904761904761904,4478,100799
21524,119,0.1578947368421052,4478,100806
21535,119,0.1764705882352941,4478,100825
22046,119,0.1304347826086956,4478,101514
22660,119,0.3333333333333333,4478,102449
22728,119,0.1363636363636363,4478,102621
27256,119,0.05,4478,102666
53554,119,0.16,4478,103340
110851,119,0.1111111111111111,4478,105910
143685,119,0.25,4478,106490
143708,119,0.0967741935483871,4478,106545
143711,119,0.1481481481481481,4478,106560
143758,119,0.1363636363636363,4478,106651
147196,119,0.375,4478,106809
215410,119,0.1363636363636363,4478,109797
223795,119,0.15,4478,110937
223826,119,0.1071428571428571,4478,110983
224024,119,0.16,4478,111388
224172,119,0.1739130434782608,4478,111583
224193,119,0.0526315789473684,4478,111610
224194,119,0.1739130434782608,4478,111616
224246,119,0.1818181818181818,4478,111705
228144,119,0.1578947368421052,4478,112618
228343,119,0.1739130434782608,4478,112838
228344,119,0.1818181818181818,4478,112846
248779,119,0.2105263157894736,4478,113482
249041,119,0.1111111111111111,4478,113719
265076,119,0.1379310344827586,4478,113912
287722,119,0.1666666666666666,4478,114864
287798,119,0.1818181818181818,4478,115003
288062,119,0.1290322580645161,4478,115396
288068,119,0.16,4478,115410
353417,119,0.0952380952380952,4478,116379
361714,119,0.1,4478,118196
363994,119,0.0714285714285714,4478,118296
428754,119,0.1904761904761904,4478,119860
431323,119,0.1363636363636363,4478,119892
432458,119,0.1304347826086956,4478,120275
451101,119,0.4,4478,121052
451859,119,0.1428571428571428,4478,121131
451875,119,0.1538461538461538,4478,121138
500752,119,0.1379310344827586,4478,122249
500758,119,0.1904761904761904,4478,122270
500759,119,0.1818181818181818,4478,122277
500761,119,0.15,4478,122285
504623,119,0.0454545454545454,4478,123166
557514,119,0.1428571428571428,4478,127300
557517,119,0.1666666666666666,4478,127306
570762,119,0.3333333333333333,4478,127783
570801,119,0.1363636363636363,4478,127790
570804,119,0.1578947368421052,4478,127797
570806,119,0.0526315789473684,4478,127804
575911,119,0.1904761904761904,4478,128170
597345,119,0.1428571428571428,4478,129175
604658,119,0.1363636363636363,4478,130246
616596,119,0.15,4478,131438
616652,119,0.1818181818181818,4478,131467
632316,119,0.125,4478,132396
636465,119,0.0476190476190476,4478,133150
636469,119,0.1363636363636363,4478,133164
636969,119,0.1739130434782608,4478,133287
643956,119,0.125,4478,133850
650007,119,0.04,4478,134059
661270,119,0.15,4478,134828
661730,119,0.1363636363636363,4478,134927
661787,119,0.1578947368421052,4478,134954
679481,119,0.15,4478,136263
688935,119,0.1739130434782608,4478,136788
