docid,groupcode,as,id,uid
120357593,4704,0.1111111111111111,4954,193466
120357832,4704,0.1111111111111111,4956,194077
120129993,4704,0.3333333333333333,3293,165629
120140421,4704,0.1111111111111111,3293,167229
120768706,4704,0.1764705882352941,3293,252377
120355799,4704,0.1153846153846153,4223,189019
120356156,4704,0.09375,4223,189767
120426465,4704,0.0555555555555555,3809,205826
120131255,4704,0.1111111111111111,2712,165868
120356715,4704,0.4,6697,191133
634000,4704,0.0454545454545454,3018,132653
120140871,4704,0.05,3050,167333
120405492,4704,0.1363636363636363,4513,202519
120435360,4704,0.125,7836,207076
120463325,4704,0.1,4486,211803
120273921,4704,0.1071428571428571,5328,184111
