docid,groupcode,as,id,uid
120402707,962,0.1428571428571428,4955,200914
120357593,962,0.074074074074074,4954,193467
120131777,962,0.25,4956,165988
120357832,962,0.074074074074074,4956,194078
120833396,962,0.25,4956,253875
120188110,962,0.1304347826086956,4938,174571
500763,962,0.0833333333333333,5056,122301
120358115,962,0.1666666666666666,4398,194690
120834628,962,0.25,4398,253926
120065906,962,0.2307692307692307,3293,155804
120140421,962,0.074074074074074,3293,167230
120359145,962,0.1764705882352941,3293,197374
120359465,962,0.6000000000000001,3293,198033
120359529,962,0.1666666666666666,3293,198165
120080301,962,0.1351351351351351,4223,156603
120120159,962,0.0625,4223,163977
120355799,962,0.0769230769230769,4223,189020
120356098,962,0.1,4223,189658
120355126,962,0.0652173913043478,6526,187191
120620198,962,0.05,4806,236252
120882982,962,0.05,3425,255391
120356715,962,0.2,6697,191134
120405166,962,0.25,4513,201692
120405313,962,0.25,4513,201960
120405371,962,0.3125,4513,202189
120405492,962,0.0909090909090909,4513,202520
120159316,962,0.0555555555555555,4417,170132
120439273,962,0.0833333333333333,2988,207941
120168331,962,0.0526315789473684,7266,171438
120792360,962,0.1666666666666666,3294,252802
120101124,962,0.1666666666666666,4486,161096
120463325,962,0.0333333333333333,4486,211804
120914378,962,0.0434782608695652,5490,256533
120125190,962,0.064516129032258,7034,164695
120134835,962,0.2142857142857142,4246,166409
120081178,962,0.0384615384615384,4421,157872
120127601,962,0.1666666666666666,8064,165194
120080439,962,0.12,7725,156816
120215487,962,0.1,7725,177671
120306486,962,0.05,5019,185345
120734124,962,1.0,4495,251539
120215648,962,0.5,8143,177685
120228557,962,0.1875,4276,179384
120273921,962,0.0714285714285714,5328,184112
120356115,962,0.0833333333333333,6443,189697
120995871,962,0.125,6033,259909
120860766,962,1.0,4436,254654
120615221,962,0.0416666666666666,4817,235330
120623310,962,0.03125,8342,236880
