docid,groupcode,as,id,uid
120508633,2798,0.2631578947368421,4478,217407
120080767,2798,0.1081081081081081,3984,157274
121034112,2798,0.1707317073170731,4249,261616
120511183,2798,0.6666666666666666,3497,217660
120203045,2798,0.2272727272727273,4954,176151
120271951,2798,0.1999999999999999,4954,183917
120134752,2798,0.0571428571428571,4956,166395
120357599,2798,0.0333333333333333,4956,193481
120444062,2798,0.28,4956,208591
120867121,2798,0.4,4956,254842
120870269,2798,0.25,4956,254987
120467942,2798,0.3333333333333333,4924,213047
120379962,2798,0.1707317073170731,4477,199780
120900527,2798,0.1379310344827586,4385,255961
241391,2798,0.1515151515151515,5047,113315
120094704,2798,0.131578947368421,5047,160067
120100222,2798,0.238095238095238,5047,160934
120358475,2798,0.1923076923076923,5047,195534
120991658,2798,0.1111111111111111,5047,259625
120994458,2798,0.75,5047,259826
120184011,2798,0.2307692307692307,5939,173949
120356510,2798,0.2758620689655172,7228,190817
120358019,2798,0.3333333333333333,4398,194452
120696713,2798,0.3,4398,250235
120965603,2798,0.1489361702127659,4398,258604
120989107,2798,0.2894736842105263,4398,259526
121004706,2798,0.3043478260869565,4398,260348
120764073,2798,0.0454545454545454,2754,252276
90000200,2798,0.048780487804878,3293,149784
120046521,2798,0.1818181818181818,3293,154669
120061244,2798,0.2244897959183673,3293,155495
120065851,2798,0.2083333333333333,3293,155792
120099172,2798,0.064516129032258,3293,160762
120127363,2798,0.2222222222222222,3293,165139
120130527,2798,0.0384615384615384,3293,165766
120162949,2798,0.1785714285714285,3293,170720
120169006,2798,0.2156862745098039,3293,171521
120170098,2798,0.0909090909090909,3293,171669
120179425,2798,0.2,3293,173196
120179862,2798,0.2592592592592592,3293,173232
120187785,2798,0.2,3293,174497
120359062,2798,0.0689655172413793,3293,197067
120359263,2798,0.1666666666666666,3293,197641
120359359,2798,0.4,3293,197789
120359373,2798,0.5,3293,197810
120359442,2798,0.074074074074074,3293,197972
120359491,2798,0.088235294117647,3293,198078
120359517,2798,0.25,3293,198144
120379870,2798,0.1428571428571428,3293,199768
120379957,2798,0.1515151515151515,3293,199773
120834630,2798,0.2894736842105263,3293,253929
121028892,2798,0.3,3293,261205
531079,2798,0.2222222222222222,3296,126018
120099439,2798,0.2258064516129032,4223,160783
120350874,2798,0.0512820512820512,4223,186941
120355843,2798,0.8571428571428571,4223,189163
120355848,2798,0.1923076923076923,4223,189180
120356061,2798,0.2857142857142857,4223,189614
120356071,2798,0.2272727272727273,4223,189628
120359441,2798,0.3125,4223,197968
120728117,2798,0.8333333333333333,4223,251122
120995260,2798,0.1052631578947368,4223,259852
682798,2798,0.032258064516129,6822,136441
120694411,2798,0.0689655172413793,7177,250200
120483895,2798,0.0833333333333333,7641,215472
120761659,2798,0.1136363636363636,7181,252231
120108577,2798,0.1470588235294117,6818,162192
120181041,2798,0.6666666666666666,6818,173402
358794,2798,0.2972972972972973,7981,117226
120108108,2798,0.1818181818181818,5108,162119
120432463,2798,0.1063829787234042,7497,206662
120356340,2798,0.0789473684210526,4492,190229
120907786,2798,0.088235294117647,4492,256219
223299,2798,0.2857142857142857,7159,110831
424727,2798,0.125,2712,119727
10044533,2798,0.1818181818181818,2712,146014
120147640,2798,0.3157894736842105,2712,168398
689012,2798,0.0980392156862745,3998,136884
120211962,2798,0.3333333333333333,5053,177268
120720806,2798,0.0454545454545454,6871,250868
120880365,2798,0.2682926829268293,7105,255294
120070911,2798,0.3529411764705882,4513,156357
120172033,2798,0.3076923076923077,4513,171993
120175972,2798,0.1904761904761904,4513,172690
120179854,2798,0.1,4513,173224
120405089,2798,0.180327868852459,4513,201460
120405106,2798,0.2272727272727273,4513,201509
120405229,2798,0.8571428571428571,4513,201786
120405304,2798,0.2285714285714285,4513,201943
120405455,2798,0.1999999999999999,4513,202443
120405458,2798,0.8571428571428571,4513,202456
120405517,2798,0.2916666666666666,4513,202592
120405535,2798,0.2857142857142857,4513,202612
120405545,2798,0.2692307692307693,4513,202631
120358764,2798,0.0625,5145,196349
120159983,2798,0.1794871794871795,5612,170292
120359802,2798,0.1739130434782608,5612,198825
120359889,2798,0.183673469387755,5612,198982
708753,2798,0.1428571428571428,7281,138139
297842,2798,0.2857142857142857,3655,115641
120359668,2798,0.2,6045,198450
450066,2798,0.054054054054054,8277,120913
120502700,2798,0.5454545454545454,4801,216948
120463544,2798,0.1470588235294117,4486,212225
120457529,2798,0.3157894736842105,5085,210492
120914378,2798,0.2608695652173913,5490,256529
529666,2798,0.0454545454545454,4315,125824
120127005,2798,0.1999999999999999,6302,165042
120270349,2798,0.8571428571428571,6302,183633
120357058,2798,0.1428571428571428,2676,192083
120844851,2798,0.238095238095238,7815,254244
120405477,2798,0.088235294117647,7268,202485
120358327,2798,0.2352941176470588,4459,195175
120512674,2798,0.2258064516129032,4459,217814
120178869,2798,0.2962962962962963,4246,173122
120357453,2798,0.2777777777777778,4246,193050
120357455,2798,0.0909090909090909,4246,193055
120740627,2798,0.1785714285714285,4246,251745
120367471,2798,0.1428571428571428,1450,199641
120378381,2798,0.125,1450,199743
120633864,2798,0.027027027027027,7865,239123
120383384,2798,0.15,2489,199819
120261407,2798,0.8571428571428571,5036,182829
120356775,2798,0.8333333333333333,3847,191290
120356786,2798,0.4117647058823529,3847,191306
120866882,2798,0.4375,3847,254836
10028774,2798,0.1515151515151515,1219,144042
