lat,lon,exp,doc,mar,ins,id
41.45728,-87.33595,33,1,0.041196638405762494,2,1097
41.4574,-87.3397,247,10,13.201142329637042,224,1098
41.4577,-87.3325,330,10,12.225871494354356,179,1099
41.4579,-87.3347,118,3,4.163211801221418,70,1100
41.45793,-87.33469,92,4,6.285730657030757,103,1101
41.4582,-87.3316,498,14,7.642471543351828,113,1102
41.45851,-87.33355,96,3,3.6816056547174183,54,1103
41.45855,-87.33561,28,1,1.5340189485369933,21,1104
41.45938,-87.33478,41,3,4.711406756811148,81,1105
41.45977,-87.33262,59,1,1.7984468991497142,27,1106
41.4605,-87.3337,246,7,8.83878964074861,151,1107
41.4605,-87.3306,143,5,9.264013555708875,164,1108
41.4607,-87.33378,47,1,1.5619035712635645,26,1109
41.4607,-87.3323,44,1,0.926496218614148,16,1110
41.46076,-87.33124,36,2,3.144526564175755,43,1111
41.4608,-87.33244,21,1,0.06614555407458772,3,1112
41.4608,-87.3312,122,3,5.01120645731312,86,1113
41.4609,-87.3381,36,1,1.1573480874484545,16,1114
41.46101,-87.39937,42,1,2.1712857721353473,31,1115
41.4612,-87.3345,43,1,0.014149605878350895,1,1116
41.4612,-87.33373,22,1,0.18351540437345806,7,1117
41.4612,-87.3334,190,7,12.575953202106557,206,1118
41.4615,-87.3326,20,1,1.324862438880958,28,1119
41.4616,-87.3372,40,1,0.040373154716446855,1,1120
41.4619,-87.3309,158,5,7.298370348685747,95,1121
41.46219,-87.36492,35,1,1.3284950592919904,23,1122
41.46219,-87.32873,56,1,1.762226687989498,27,1123
41.4625,-87.338,199,7,12.395192579095786,205,1124
41.4628,-87.3303,43,1,1.8322156189088838,26,1125
41.4629,-87.3363,53,1,0.10290420683301216,8,1126
41.4629,-87.3362,39,1,1.8778413131530007,30,1127
41.463,-87.3344,47,1,0.7406186209294792,17,1128
41.4633,-87.3368,100,2,3.7178511670030883,57,1129
41.4634,-87.3633,40,2,1.423020775782979,29,1130
41.4634,-87.338,0,1,0.5188817575520625,6,1131
41.4637,-87.3334,24,1,0.24911086927290263,21,1132
41.4637,-87.32,26,1,0.15890685678618244,13,1133
41.4637,-87.3183,15,1,0.4853422362234725,31,1134
41.46435,-87.33301,26,1,1.8714124977724016,28,1135
41.46438,-87.32024,52,2,2.0212337268790748,46,1136
41.4645,-87.3185,37,1,2.0353672202759996,36,1137
41.4646,-87.3398,71,2,2.4677950321531363,44,1138
41.46526,-87.32073,8,1,0.8533771308109598,14,1139
41.4655,-87.3411,105,7,11.747215420252989,187,1140
41.4666,-87.3366,106,3,1.2733578890138628,22,1141
41.46697,-87.29811,0,1,0.017498025412165687,1,1142
41.46875,-87.46916,12,1,1.8895482927305278,31,1143
41.46903,-87.34286,41,1,1.6310948372891743,26,1144
41.46958,-87.88301,12,1,1.7494452194397025,23,1145
41.4696,-87.3284,27,1,1.903110213643739,29,1146
41.4699,-87.4704,25,1,0.015506030921210742,1,1147
41.4703,-87.2896,16,1,1.763688264768578,30,1148
41.4708,-87.2507,11,1,0.031012061842421484,2,1149
41.4709,-87.3298,0,1,0.0776367299350104,6,1150
41.4709,-87.298,38,1,0.08758227233613769,6,1151
41.4718,-87.2911,13,1,0.337638924856175,23,1152
41.4719,-87.3424,102,3,1.4685346532885184,80,1153
41.4723,-87.3618,30,1,0.4791441075749499,30,1154
41.4723,-87.3617,43,1,0.15789571769068927,5,1155
41.4729,-87.3345,77,4,0.05659842351340358,4,1156
41.47317,-87.39805,57,1,1.7014133299270644,25,1157
41.4733,-87.33437,11,2,3.349126606443518,63,1158
41.4736,-87.3992,49,1,0.40640828976168925,7,1159
41.4737,-87.3261,112,5,3.085141587298136,69,1160
41.4738,-87.3403,45,1,1.4456016096433657,24,1161
41.4738,-87.3389,98,4,7.499439492714378,115,1162
41.47381,-87.39504,16,1,1.218188752607925,17,1163
41.47384,-87.40042,37,1,0.9656245709000303,19,1164
41.474,-87.2572,36,1,1.2866088196229057,16,1165
41.4742,-87.4016,86,3,1.5802039206002803,30,1166
41.47422,-87.25846,45,2,3.642396092936794,59,1167
41.4747,-87.6331,51,1,0.015506030921210742,1,1168
41.47482,-87.4016,55,1,1.2822917746494111,20,1169
41.475,-87.2576,306,12,20.55996541446156,320,1170
41.4754,-87.3382,37,2,0.1398930286534275,7,1171
41.4758,-87.6373,53,1,0.2569219284919015,8,1172
41.4758,-87.3372,13,1,0.3158014652392949,20,1173
41.4758,-87.3352,101,4,1.8579956539007927,116,1174
41.4759,-87.4022,16,1,0.11502467539173712,6,1175
41.47644,-87.40839,6,1,1.4918696030466962,25,1176
41.4765,-87.4035,182,4,2.862436033772279,43,1177
41.47669,-87.33523,30,1,0.3875328089594197,5,1178
41.4767,-87.3352,137,4,2.0788122292828115,47,1179
41.4775,-87.3351,13,1,0.2701412812256978,18,1180
41.47797,-87.41385,36,1,1.7224062755073852,25,1181
41.4781,-87.6383,26,2,0.8252922344698652,52,1182
41.4793,-87.4165,20,2,3.5330435933861963,59,1183
41.4802,-87.6441,42,1,0.5203820948788321,26,1184
41.48035,-87.80425,27,1,0.440668149014958,5,1185
41.4808,-87.42663,47,2,0.9778446262415507,18,1186
41.48087,-87.42661,30,1,0.23195172364078925,8,1187
41.48111,-87.95708,20,1,1.2590450229321377,20,1188
41.4814,-87.4268,78,4,7.299633204860561,106,1189
41.48149,-87.95721,52,2,2.2411623039373083,37,1190
41.4815,-87.9572,19,1,0.014149605878350895,1,1191
41.48165,-87.90032,34,1,0.040373154716446855,1,1192
41.4819,-87.6799,0,1,1.5669364245484854,17,1193
41.4821,-87.9815,10,1,0.27592177953233427,17,1194
41.48242,-87.67829,31,1,0.058053982377733765,3,1195
41.4838,-87.7223,42,1,0.014149605878350895,1,1196
41.4839,-87.726,66,2,3.3961280736499586,54,1197
41.48446,-87.44649,31,2,3.53050345098292,50,1198
41.48576,-87.46981,13,1,1.9506301921500773,31,1199
41.4858,-87.4698,85,5,7.468636440169181,142,1200
41.4859,-87.3398,12,1,0.36803722410287454,16,1201
41.486,-88.0812,148,6,10.427249234463007,167,1202
41.4864,-87.3993,33,1,0.1796610270393322,17,1203
41.4869,-87.4506,0,1,0.38778640259280245,23,1204
41.4874,-87.7123,30,1,0.3028956264513366,23,1205
41.4877,-87.574,30,1,1.8767893428294737,27,1206
41.4882,-87.79457,8,1,0.1252608248373966,5,1207
41.4885,-87.4576,42,1,0.014149605878350895,1,1208
41.4899,-87.4722,34,3,4.440071340114553,72,1209
41.4901,-87.4641,9,1,2.0064323743624417,33,1210
41.4903,-87.4763,90,3,1.7842543266542246,61,1211
41.4904,-87.4584,21,1,0.09004508777031599,5,1212
41.4905,-87.4646,31,1,0.4690492820627703,17,1213
41.49051,-87.46327,67,3,5.218817527636142,89,1214
41.49054,-87.46578,67,1,0.05452276059479775,2,1215
41.4911,-87.5081,114,3,5.242053861242934,73,1216
41.4911,-87.507,9,1,0.4372666682973274,28,1217
41.4911,-87.5059,32,1,1.7768201312578387,26,1218
41.49115,-87.52541,27,1,1.6543022460799117,33,1219
41.4912,-87.5009,27,1,1.813742820724767,28,1220
41.4912,-87.5004,87,4,6.668478900220257,120,1221
41.4914,-87.506,41,1,0.11507262458345352,12,1222
41.4918,-87.4745,29,1,1.7704874730957152,27,1223
41.492,-87.4992,20,1,0.04516166772077238,3,1224
41.492,-87.4985,16,1,0.3296765765545406,20,1225
41.4923,-87.5223,116,3,5.871356654111875,101,1226
41.4927,-87.5244,325,15,23.34615440364471,358,1227
41.493,-87.5012,44,2,0.5635564271394238,36,1228
41.49304,-87.52294,129,6,10.330198452709999,155,1229
41.49349,-87.47562,20,1,0.059311273599123276,4,1230
41.4937,-87.5215,13,1,0.28119638474742037,17,1231
41.4939,-87.5187,76,3,2.4328458304715888,70,1232
41.4941,-87.475,24,1,0.07198810808278425,7,1233
41.49431,-87.52377,255,8,10.782277150469483,191,1234
41.49505,-87.46965,2,1,0.040373154716446855,1,1235
41.4955,-87.6865,67,2,0.08074630943289371,2,1236
41.4959,-87.8487,12,1,0.11330400473461062,13,1237
41.496,-88.1638,253,10,17.32400957741426,306,1238
41.4967,-88.1677,32,1,0.6234027127724352,5,1239
41.4974,-87.90287,13,1,0.47122349642399974,8,1240
41.4975,-87.9673,27,1,0.7935894066064281,17,1241
41.49838,-87.47095,59,1,1.4237512729830957,17,1242
41.4984,-87.4709,28,1,0.9783892798807908,14,1243
41.49843,-87.65494,79,2,0.02829921175670179,2,1244
41.50098,-87.66358,55,1,1.2602079687803527,15,1245
41.5018,-87.8496,0,2,0.23876458551644514,13,1246
41.5019,-88.1679,36,1,1.7866672516338642,32,1247
41.503,-87.6386,50,2,0.7663068988986439,11,1248
41.5035,-87.6358,81,2,0.5100169808729962,37,1249
41.5039,-87.8507,42,1,0.07309980459248427,6,1250
41.5041,-88.068,201,7,8.074400385974817,146,1251
41.5041,-88.06795,45,1,0.17941778680766962,5,1252
41.5041,-87.5962,80,3,1.5439111062105006,24,1253
41.5042,-87.6392,265,10,13.025100657712786,199,1254
41.50429,-87.6391,45,2,3.2488449162662167,42,1255
41.5043,-87.8532,57,2,1.2752005356850051,36,1256
41.50433,-87.85322,21,1,0.14019541269241637,5,1257
41.5046,-87.8673,26,2,0.038575351216505294,5,1258
41.50465,-87.89177,15,1,0.039129193499772036,2,1259
41.5048,-87.8681,31,1,0.014149605878350895,1,1260
41.50482,-87.86659,15,1,1.7912275368390211,30,1261
41.5049,-87.8508,135,5,8.90227598830014,139,1262
41.505,-87.8635,57,2,0.15384747290935377,6,1263
41.505,-87.6393,444,32,23.015072870476747,322,1264
41.5051,-87.6664,9,2,0.35262527971979557,28,1265
41.5051,-87.6625,41,1,0.08838783169872533,3,1266
41.5052,-87.8629,14,1,0.39853291003450403,21,1267
41.5052,-87.7272,53,1,0.9403780596405118,21,1268
41.50535,-87.86426,56,2,3.003334636567775,44,1269
41.50537,-87.86429,25,1,1.9152643954668152,29,1270
41.5054,-87.8635,34,1,0.29363489686523586,16,1271
41.50548,-88.06893,37,1,0.1252608248373966,5,1272
41.5055,-87.8782,34,1,0.0828261137121876,3,1273
41.5055,-87.6345,8,1,0.463530336567089,29,1274
41.5056,-87.9216,21,1,0.16005323719164496,5,1275
41.5056,-87.8622,31,2,0.2247462737136578,10,1276
